Features;Accuracy
[33, 35, 4, 34, 2, 28];83.39999999999999
[33, 35, 4, 34, 2, 29];83.7
[33, 35, 4, 34, 2, 30];84.6
[33, 35, 4, 34, 2, 31];85.6
[33, 35, 4, 34, 2, 32];85.2
[33, 35, 4, 34, 2, 36];84.2
[33, 35, 4, 34, 2, 37];85.9
[33, 35, 4, 34, 2, 38];84.39999999999999
[33, 35, 4, 34, 2, 39];85.39999999999999
[33, 35, 4, 34, 2, 40];86.2
[33, 35, 4, 34, 2, 14, 1];83.1
[33, 35, 4, 34, 2, 14, 3];83.89999999999999
[33, 35, 4, 34, 2, 14, 5];83.3
[33, 35, 4, 34, 2, 14, 6];83.0
[33, 35, 4, 34, 2, 14, 7];83.0
[33, 35, 4, 34, 2, 14, 8];82.5
[33, 35, 4, 34, 2, 14, 9];81.3
[33, 35, 4, 34, 2, 14, 10];85.39999999999999
[33, 35, 4, 34, 2, 14, 11];82.69999999999999
[33, 35, 4, 34, 2, 14, 12];80.5
[33, 35, 4, 34, 2, 14, 13];83.39999999999999
[33, 35, 4, 34, 2, 14, 15];82.89999999999999
[33, 35, 4, 34, 2, 14, 16];82.69999999999999
[33, 35, 4, 34, 2, 14, 17];83.0
[33, 35, 4, 34, 2, 14, 18];82.19999999999999
[33, 35, 4, 34, 2, 14, 19];83.2
[33, 35, 4, 34, 2, 14, 20];83.5
[33, 35, 4, 34, 2, 14, 21];82.3
[33, 35, 4, 34, 2, 14, 22];83.0
[33, 35, 4, 34, 2, 14, 23];82.0
[33, 35, 4, 34, 2, 14, 24];84.1
[33, 35, 4, 34, 2, 14, 25];83.8
[33, 35, 4, 34, 2, 14, 26];82.1
[33, 35, 4, 34, 2, 14, 27];82.8
[33, 35, 4, 34, 2, 14, 28];81.69999999999999
[33, 35, 4, 34, 2, 14, 29];82.0
[33, 35, 4, 34, 2, 14, 30];82.89999999999999
[33, 35, 4, 34, 2, 14, 31];82.19999999999999
[33, 35, 4, 34, 2, 14, 32];81.8
[33, 35, 4, 34, 2, 14, 36];81.89999999999999
[33, 35, 4, 34, 2, 14, 37];83.7
[33, 35, 4, 34, 2, 14, 38];82.1
[33, 35, 4, 34, 2, 14, 39];84.1
[33, 35, 4, 34, 2, 14, 40];83.6
[33, 35, 4, 34, 2, 14, 10, 1];81.0
[33, 35, 4, 34, 2, 14, 10, 3];80.80000000000001
[33, 35, 4, 34, 2, 14, 10, 5];80.2
[33, 35, 4, 34, 2, 14, 10, 6];81.3
[33, 35, 4, 34, 2, 14, 10, 7];82.3
[33, 35, 4, 34, 2, 14, 10, 8];80.9
[33, 35, 4, 34, 2, 14, 10, 9];79.80000000000001
[33, 35, 4, 34, 2, 14, 10, 11];80.60000000000001
[33, 35, 4, 34, 2, 14, 10, 12];79.7
[33, 35, 4, 34, 2, 14, 10, 13];81.0
[33, 35, 4, 34, 2, 14, 10, 15];80.0
[33, 35, 4, 34, 2, 14, 10, 16];81.69999999999999
[33, 35, 4, 34, 2, 14, 10, 17];79.60000000000001
[33, 35, 4, 34, 2, 14, 10, 18];81.2
[33, 35, 4, 34, 2, 14, 10, 19];81.10000000000001
[33, 35, 4, 34, 2, 14, 10, 20];79.3
[33, 35, 4, 34, 2, 14, 10, 21];79.4
[33, 35, 4, 34, 2, 14, 10, 22];80.5
[33, 35, 4, 34, 2, 14, 10, 23];80.7
[33, 35, 4, 34, 2, 14, 10, 24];79.4
[33, 35, 4, 34, 2, 14, 10, 25];78.8
[33, 35, 4, 34, 2, 14, 10, 26];79.60000000000001
[33, 35, 4, 34, 2, 14, 10, 27];80.80000000000001
[33, 35, 4, 34, 2, 14, 10, 28];79.7
[33, 35, 4, 34, 2, 14, 10, 29];81.6
[33, 35, 4, 34, 2, 14, 10, 30];80.30000000000001
[33, 35, 4, 34, 2, 14, 10, 31];80.30000000000001
[33, 35, 4, 34, 2, 14, 10, 32];80.10000000000001
[33, 35, 4, 34, 2, 14, 10, 36];79.4
[33, 35, 4, 34, 2, 14, 10, 37];79.9
[33, 35, 4, 34, 2, 14, 10, 38];80.30000000000001
[33, 35, 4, 34, 2, 14, 10, 39];81.2
[33, 35, 4, 34, 2, 14, 10, 40];81.10000000000001
