Features;Accuracy
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 18];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 19];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 20];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 21];74.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 23];70.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 24];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 25];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 26];74.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 29];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 30];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 31];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 32];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 37];74.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 38];72.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 40];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 1];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 5];73.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 6];73.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 11];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12];74.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 13];70.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 15];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 16];73.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 17];73.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 18];71.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 19];72.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 20];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 21];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 23];70.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 24];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 25];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 26];74.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 29];73.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 30];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 31];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 32];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 37];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 38];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 40];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 1];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 5];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 6];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 11];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 13];69.19999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 15];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 16];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 17];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 18];69.69999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 19];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 20];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 21];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 23];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 25];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 26];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 29];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 30];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 31];70.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 32];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 37];73.9
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 38];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 40];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 1];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 5];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 6];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 11];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 13];69.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 15];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 16];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 17];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 18];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19];73.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 20];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 21];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 23];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 25];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 26];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 29];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 30];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 31];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 32];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 37];73.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 38];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 40];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 1];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 5];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 6];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 11];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 13];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 15];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 16];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 17];69.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 18];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 21];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 23];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 25];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 26];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 29];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 30];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 31];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 32];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 37];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 38];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 40];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 1];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 5];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 11];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 13];69.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 15];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 16];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 17];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 18];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 21];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 23];68.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 25];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 26];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 29];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 30];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 31];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 32];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 37];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 38];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 40];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 1];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5];73.4
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 11];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 13];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 15];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 16];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 17];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 18];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 21];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 23];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 25];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 26];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 29];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 30];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 31];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 32];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 37];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 38];73.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 40];71.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 1];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 13];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 15];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 16];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 17];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 18];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 21];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 23];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 25];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 26];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 29];70.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 30];73.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 31];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 32];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 37];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 38];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 40];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 1];70.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 13];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 15];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 16];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 17];71.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 21];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 23];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 25];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 26];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 29];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 30];73.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 31];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 32];72.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 37];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 38];72.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 40];70.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 1];70.19999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 13];70.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 15];72.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 16];70.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 17];72.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 21];71.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 23];70.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 25];72.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 26];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 29];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30];73.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 31];71.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 32];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 37];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 38];71.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 40];71.2
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 1];71.1
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 13];70.6
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 15];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 16];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 17];70.89999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 21];72.8
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 23];72.5
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 25];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 26];72.3
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 29];71.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 31];72.39999999999999
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 32];70.7
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 37];71.0
[33, 35, 4, 34, 2, 14, 10, 7, 39, 9, 27, 28, 36, 22, 8, 3, 12, 24, 19, 20, 6, 5, 11, 18, 30, 38];72.7
