Features;Accuracy
[2, 3, 4, 5, 6];85.0
[1, 3, 4, 5, 6];81.2
[1, 2, 4, 5, 6];86.0
[1, 2, 3, 5, 6];71.6
[1, 2, 3, 4, 6];84.6
[1, 2, 3, 4, 5];86.4
[2, 3, 4, 5];90.8
[1, 3, 4, 5];81.6
[1, 2, 4, 5];89.0
[1, 2, 3, 5];72.39999999999999
[1, 2, 3, 4];90.4
[3, 4, 5];82.39999999999999
[2, 4, 5];94.8
[2, 3, 5];74.6
[2, 3, 4];91.4
[4, 5];86.8
[2, 5];71.39999999999999
[2, 4];97.0
[4];85.0
[2];74.8
[];81.8
