Features;Accuracy
[1];70.0
[2];68.0
[3];67.0
[4];69.0
[5];74.0
[6];83.0
[6, 1];81.8
[6, 2];81.8
[6, 3];83.2
[6, 4];81.2
[6, 5];96.39999999999999
[6, 5, 1];93.4
[6, 5, 2];93.8
[6, 5, 3];92.4
[6, 5, 4];94.19999999999999
[6, 5, 4, 1];90.2
[6, 5, 4, 2];90.0
[6, 5, 4, 3];88.8
[6, 5, 4, 1, 2];86.2
[6, 5, 4, 1, 3];88.0
[6, 5, 4, 1, 3, 2];83.0
