Features;Accuracy
[1];65.8
[2];72.6
[3];81.8
[4];70.39999999999999
[5];66.8
[6];68.0
[3, 1];85.0
[3, 2];95.0
[3, 4];80.2
[3, 5];79.4
[3, 6];82.19999999999999
[3, 2, 1];90.0
[3, 2, 4];89.60000000000001
[3, 2, 5];86.8
[3, 2, 6];90.8
[3, 2, 6, 1];88.2
[3, 2, 6, 4];86.2
[3, 2, 6, 5];87.4
[3, 2, 6, 1, 4];82.8
[3, 2, 6, 1, 5];84.6
[3, 2, 6, 1, 5, 4];78.4
