Features;Accuracy
[1];70.8
[2];74.8
[3];69.6
[4];85.0
[5];71.0
[6];70.8
[4, 1];84.39999999999999
[4, 2];97.0
[4, 3];84.6
[4, 5];86.8
[4, 6];84.2
[4, 2, 1];93.60000000000001
[4, 2, 3];91.4
[4, 2, 5];94.8
[4, 2, 6];94.39999999999999
[4, 2, 5, 1];89.0
[4, 2, 5, 3];90.8
[4, 2, 5, 6];89.60000000000001
[4, 2, 5, 3, 1];86.4
[4, 2, 5, 3, 6];85.0
[4, 2, 5, 3, 1, 6];84.39999999999999
