Features;Accuracy
[2, 3, 4, 5, 6];82.0
[1, 3, 4, 5, 6];71.0
[1, 2, 4, 5, 6];71.0
[1, 2, 3, 5, 6];84.6
[1, 2, 3, 4, 6];82.8
[1, 2, 3, 4, 5];84.39999999999999
[2, 3, 5, 6];87.4
[1, 3, 5, 6];75.6
[1, 2, 5, 6];73.8
[1, 2, 3, 6];88.2
[1, 2, 3, 5];86.6
[2, 3, 6];90.8
[1, 3, 6];78.60000000000001
[1, 2, 6];70.0
[1, 2, 3];90.0
[3, 6];82.19999999999999
[2, 6];69.6
[2, 3];95.0
[3];81.8
[2];72.6
[];79.4
